% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
373 +1.003053018e+01 +1.003053018e+01 +8.205301841e-01 +8.205301841e-01 +4.9272e+00 +5.3087e+00 -2.6633e+00 +7.7381e+00 -1.6042e+01 +6.4512e+00 +7.3737e+00 +7.2749e+00 +4.9270e+00 -2.2877e+01 -6.1756e+00 -1.1399e+01 +1.0338e+01 +1.9588e+01 -6.2662e+00 -7.0522e+00 +1.2515e+01 +1.0205e+01 -5.6864e+00 +7.3323e+00
382 +8.735568916e+00 +8.735568916e+00 -4.744310837e-01 -4.744310837e-01 +6.3359e+00 +4.6220e+00 -1.2901e+00 +8.4928e+00 -1.6626e+01 +7.0393e+00 +6.2793e+00 +7.9527e+00 +4.8886e+00 -2.3417e+01 -5.7101e+00 -1.1029e+01 +9.9017e+00 +2.0833e+01 -6.2827e+00 -6.8485e+00 +1.4196e+01 +1.1236e+01 -5.9756e+00 +7.0770e+00
392 +7.858844446e+00 +7.858844446e+00 -1.351155554e+00 -1.351155554e+00 +7.3027e+00 +4.3617e+00 -6.0187e-01 +1.1845e+01 -2.0717e+01 +8.2276e+00 +7.2033e+00 +9.6930e+00 +5.7504e+00 -2.6657e+01 -5.3760e+00 -1.1811e+01 +9.4912e+00 +2.3204e+01 -6.0655e+00 -6.7156e+00 +1.6000e+01 +1.1884e+01 -6.9134e+00 +7.0457e+00
396 +7.359538064e+00 +7.359538064e+00 -1.850461936e+00 -1.850461936e+00 +7.0805e+00 +5.1011e+00 -7.7547e-01 +7.3387e+00 -1.7108e+01 +6.0168e+00 +8.0329e+00 +9.7005e+00 +6.0634e+00 -2.3458e+01 -5.4024e+00 -1.0610e+01 +9.9655e+00 +2.1789e+01 -6.9287e+00 -6.4441e+00 +1.5194e+01 +1.2285e+01 -5.1443e+00 +6.9332e+00
403 +6.592051477e+00 +6.592051477e+00 -2.617948523e+00 -2.617948523e+00 +8.0440e+00 +6.5470e+00 +8.3969e-01 +8.8441e+00 -1.8467e+01 +5.9934e+00 +8.9178e+00 +1.1647e+01 +5.2482e+00 -2.5032e+01 -5.0843e+00 -1.0159e+01 +1.1165e+01 +2.4140e+01 -8.5682e+00 -6.5154e+00 +1.5321e+01 +1.3678e+01 -4.8543e+00 +8.0591e+00
412 +6.201755122e+00 +6.201755122e+00 -3.008244878e+00 -3.008244878e+00 +7.3798e+00 +4.0945e+00 +9.3523e-01 +8.8651e+00 -1.8040e+01 +6.3663e+00 +8.4417e+00 +1.0811e+01 +6.6004e+00 -2.4707e+01 -5.9890e+00 -9.8084e+00 +1.1126e+01 +2.2775e+01 -8.8855e+00 -7.2001e+00 +1.4779e+01 +1.2666e+01 -5.2985e+00 +8.4107e+00
413 +5.015084365e+00 +5.015084365e+00 -4.194915635e+00 -4.194915635e+00 +7.9949e+00 +5.8674e+00 +1.0644e+00 +9.9852e+00 -1.8464e+01 +5.0684e+00 +8.4587e+00 +1.0763e+01 +7.7904e+00 -2.3046e+01 -5.3089e+00 -9.5116e+00 +9.8783e+00 +2.3605e+01 -9.0489e+00 -7.5058e+00 +1.4856e+01 +1.3902e+01 -6.6281e+00 +8.7746e+00
426 +3.393864339e+00 +3.393864339e+00 -5.816135661e+00 -5.816135661e+00 +8.6417e+00 +5.8088e+00 +2.3366e+00 +1.1938e+01 -1.8370e+01 +5.1638e+00 +7.4885e+00 +1.0792e+01 +7.3273e+00 -2.3678e+01 -6.1080e+00 -8.6597e+00 +1.0902e+01 +2.2353e+01 -9.4089e+00 -7.4248e+00 +1.3939e+01 +1.3845e+01 -8.5090e+00 +9.9703e+00
432 +2.569491934e+00 +2.569491934e+00 -6.640508066e+00 -6.640508066e+00 +9.2821e+00 +6.9593e+00 +2.9836e+00 +1.4843e+01 -2.1755e+01 +6.6494e+00 +7.7341e+00 +9.7557e+00 +8.6080e+00 -2.6057e+01 -5.9096e+00 -9.7035e+00 +1.1732e+01 +2.5649e+01 -9.8631e+00 -9.2439e+00 +1.3879e+01 +1.6763e+01 -9.0753e+00 +1.0932e+01
442 +6.583846019e-01 +6.583846019e-01 -8.551615398e+00 -8.551615398e+00 +8.8625e+00 +8.0403e+00 +4.4833e+00 +1.6348e+01 -2.3066e+01 +5.3654e+00 +5.7965e+00 +1.1061e+01 +9.5824e+00 -2.6932e+01 -6.1833e+00 -9.1295e+00 +1.0986e+01 +2.7022e+01 -9.7355e+00 -9.1733e+00 +1.5438e+01 +1.6951e+01 -8.4975e+00 +9.6932e+00
