% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
128549 +3.488296444e+01 +3.488296444e+01 -4.272070356e+02 -4.272070356e+02 +6.8653e-01 +2.3188e+00 +2.2444e+00 -1.3192e-01 +2.3341e+00 +3.5406e+00 +2.5756e+00 +2.5280e+00 +1.0930e+00 -6.4270e-01 -3.3404e+00 -4.3385e+00 -5.6833e-01 -2.9940e+00 -1.3943e+00 -3.0278e+00 -3.3710e-01 +2.9512e+00 -2.4109e+00 +1.8450e+00
129604 +3.427755043e+01 +3.427755043e+01 -4.278124496e+02 -4.278124496e+02 +6.4048e-01 +2.3139e+00 +2.2807e+00 -1.6048e-01 +2.2429e+00 +3.7863e+00 +2.5459e+00 +2.5885e+00 +1.1720e+00 -6.1293e-01 -3.2383e+00 -4.3454e+00 -6.0739e-01 -2.9610e+00 -1.3548e+00 -3.0268e+00 -3.1617e-01 +2.9637e+00 -2.4416e+00 +1.8438e+00
129823 +3.332299238e+01 +3.332299238e+01 -4.287670076e+02 -4.287670076e+02 +5.8959e-01 +2.2586e+00 +2.2262e+00 -1.5886e-01 +2.2930e+00 +3.6322e+00 +2.5525e+00 +2.6001e+00 +1.1152e+00 -4.9802e-01 -3.3629e+00 -4.2965e+00 -6.3643e-01 -2.9043e+00 -1.3968e+00 -3.0169e+00 -3.1814e-01 +2.9460e+00 -2.4767e+00 +1.8441e+00
129840 +3.181465371e+01 +3.181465371e+01 -4.302753463e+02 -4.302753463e+02 +6.1910e-01 +2.3136e+00 +2.2267e+00 -1.4803e-01 +2.2704e+00 +3.5961e+00 +2.5896e+00 +2.5926e+00 +1.1525e+00 -4.8443e-01 -3.3452e+00 -4.3316e+00 -6.4605e-01 -2.9394e+00 -1.4107e+00 -3.0249e+00 -3.3137e-01 +2.9463e+00 -2.4795e+00 +1.8546e+00
130419 +3.086525308e+01 +3.086525308e+01 -4.312247469e+02 -4.312247469e+02 +8.1926e-01 +2.3627e+00 +2.1937e+00 -1.6923e-01 +2.3396e+00 +3.6817e+00 +2.5737e+00 +2.5676e+00 +1.0988e+00 -5.3157e-01 -3.2973e+00 -4.3273e+00 -6.5186e-01 -2.9402e+00 -1.3929e+00 -3.0225e+00 -3.4043e-01 +2.9245e+00 -2.4324e+00 +1.8186e+00
130487 +3.004060108e+01 +3.004060108e+01 -4.320493989e+02 -4.320493989e+02 +7.7356e-01 +2.2920e+00 +2.2028e+00 -1.7604e-01 +2.3247e+00 +3.6497e+00 +2.5234e+00 +2.5895e+00 +1.1230e+00 -5.9222e-01 -3.3618e+00 -4.2585e+00 -6.0617e-01 -2.9735e+00 -1.3838e+00 -3.0152e+00 -3.5762e-01 +2.9308e+00 -2.4033e+00 +1.8183e+00
131280 +2.826159242e+01 +2.826159242e+01 -4.338284076e+02 -4.338284076e+02 +6.8403e-01 +2.3393e+00 +2.2487e+00 -1.3011e-01 +2.2988e+00 +3.5721e+00 +2.5646e+00 +2.5864e+00 +1.1016e+00 -5.3285e-01 -3.2915e+00 -4.3084e+00 -6.4724e-01 -2.9755e+00 -1.3780e+00 -3.0165e+00 -3.6808e-01 +2.9452e+00 -2.4290e+00 +1.8250e+00
132036 +2.752476071e+01 +2.752476071e+01 -4.345652393e+02 -4.345652393e+02 +6.8451e-01 +2.3214e+00 +2.2078e+00 -1.4384e-01 +2.3541e+00 +3.5939e+00 +2.5526e+00 +2.5825e+00 +1.1427e+00 -5.1952e-01 -3.2986e+00 -4.3377e+00 -6.1445e-01 -2.9708e+00 -1.3935e+00 -3.0165e+00 -3.4079e-01 +2.9316e+00 -2.4372e+00 +1.8118e+00
132739 +2.688728784e+01 +2.688728784e+01 -4.352027122e+02 -4.352027122e+02 +6.9061e-01 +2.3065e+00 +2.1828e+00 -1.6356e-01 +2.3358e+00 +3.7072e+00 +2.5259e+00 +2.5928e+00 +1.1356e+00 -5.6135e-01 -3.3196e+00 -4.3132e+00 -5.8724e-01 -2.9491e+00 -1.3746e+00 -3.0134e+00 -3.4769e-01 +2.9355e+00 -2.4514e+00 +1.8155e+00
133244 +2.564454155e+01 +2.564454155e+01 -4.364454585e+02 -4.364454585e+02 +6.6886e-01 +2.3181e+00 +2.2018e+00 -1.4276e-01 +2.2746e+00 +3.6528e+00 +2.5792e+00 +2.5974e+00 +1.1537e+00 -5.5071e-01 -3.3283e+00 -4.2964e+00 -6.1554e-01 -2.9801e+00 -1.3788e+00 -3.0249e+00 -3.3589e-01 +2.9379e+00 -2.4499e+00 +1.8136e+00
